City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,xai-xai,-25.0519,33.6442,23.82,76,85,7.19,MZ,1705732094
317,ola,59.5833,151.2833,-17.75,83,84,0.78,RU,1705732095
318,vredendal,-31.6683,18.5012,22.51,65,44,1.48,ZA,1705732097
319,oranjemund,-28.55,16.4333,19.58,88,40,3.32,NA,1705732101
320,esmeraldas,-19.7625,-44.3139,23.19,92,100,1.3,BR,1705732102
321,mati,6.9551,126.2166,27.51,82,96,1.43,PH,1705732104
322,monteagudo,-19.8167,-63.9833,20.22,97,99,0.6,BO,1705732105
323,utica,43.1009,-75.2327,-13.51,71,100,0.45,US,1705732106
324,nar'yan-mar,67.6713,53.087,-12.16,93,99,7.15,RU,1705732108
325,newman,37.3138,-121.0208,15.16,94,100,1.79,US,1705732110
326,calvinia,-31.4707,19.776,27.9,18,0,4.12,ZA,1705732112
327,hotan,37.0997,79.9269,2.37,39,100,2.42,CN,1705732113
328,massawa,15.6097,39.45,25.65,70,93,2.25,ER,1705732116
329,karwar,14.8,74.1333,28.22,55,7,3.27,IN,1705732117
330,rasskazovo,52.6714,41.9033,-2.47,98,100,5.52,RU,1705732119
331,dul'durga,50.6761,113.5931,-16.83,73,99,1.74,RU,1705732121
332,al kharijah,25.4514,30.5464,14.82,49,1,2.98,EG,1705732122
333,kenora,49.8167,-94.4337,-21.46,77,0,2.06,CA,1705732124
334,zhangjiajie,29.1294,110.4783,6.86,72,99,0.85,CN,1705732125
335,kotovo,50.3211,44.8012,1.5,100,100,7.4,RU,1705732126
336,kletskaya,49.3145,43.0584,3.01,98,100,8.03,RU,1705732128
337,quellon,-43.1167,-73.6167,11.04,85,0,5.26,CL,1705732129
338,magadan,59.5667,150.8,-18.56,88,86,1.74,RU,1705732131
339,haiku-pauwela,20.9219,-156.3051,22.25,84,0,3.6,US,1705732132
340,slavyanka,42.8633,131.3847,-9.73,44,86,7.47,RU,1705732134
341,barcelos,41.5388,-8.6151,8.8,89,1,0.61,PT,1705732126
342,kota kinabalu,5.9749,116.0724,29.99,79,20,2.24,MY,1705731797
343,prince rupert,54.3161,-130.3201,2.83,100,100,0.51,CA,1705732140
344,sabang,5.8933,95.3214,28.12,77,85,6.05,ID,1705732015
345,ad dawadimi,24.5077,44.3924,14.64,39,48,3.69,SA,1705732142
346,genhe,50.7833,121.5167,-19.62,66,84,0.75,CN,1705732144
347,todos santos,23.45,-110.2167,17.95,48,66,1.84,MX,1705732145
348,qizilhacili,40.5746,46.841,6.26,59,78,1.83,AZ,1705732147
349,howrah,22.5892,88.3103,16.0,88,40,4.12,IN,1705732148
350,chamba,32.5667,76.1333,14.73,20,99,2.76,IN,1705732150
351,richards bay,-28.783,32.0377,22.77,67,89,1.59,ZA,1705732127
352,micheweni,-4.9667,39.8333,28.53,83,100,5.78,TZ,1705732153
353,andalgala,-27.5819,-66.3165,21.07,65,52,1.78,AR,1705732155
354,jamestown,42.097,-79.2353,-10.23,86,100,3.09,US,1705732156
355,kodinsk,58.6881,99.1844,-19.76,94,99,1.34,RU,1705732158
356,trincomalee,8.5711,81.2335,27.3,77,1,5.35,LK,1705732159
357,kavieng,-2.5744,150.7967,27.28,84,99,2.62,PG,1705732161
358,ambon,-3.6954,128.1814,32.08,62,40,4.63,ID,1705732162
